job_desc,candidate requirements t,company benefits t,salary ranges t,part time options t,
"With a unique legacy in dermatology as well as decades of cutting-edge innovation, Galderma is the pure-play dermatology category leader, present in approximately 90 countries. We deliver an innovative, science-based portfolio of premium flagship brands and services that spans the full spectrum of the fast-growing dermatology market through Injectable Aesthetics, Dermo-cosmetics, and Therapeutic Dermatology. Since our foundation in 1981, we have dedicated our focus and passion to the human body’s largest organ – the skin – meeting individual consumer and patient needs with superior outcomes in partnership with healthcare professionals. Because we understand that the skin we’re in shapes our lives, we are advancing dermatology for every skin story.
We look for people who focus on getting results, embrace learning and bring a positive energy. They must combine initiative with a sense of teamwork and collaboration. Above all, they must be passionate about doing something meaningful for consumers, patients, and the healthcare professionals we serve every day. We aim to empower each employee and promote their personal growth while ensuring business needs are met now and into the future. Across our company, we embrace diversity and respect the dignity, privacy, and personal rights of every employee.
At Galderma, we actively give our teams reasons to believe in our bold ambition to become the leading dermatology company in the world. With us, you have the ultimate opportunity to gain new and challenging work experiences and create an unparalleled, direct impact.
Further supporting our growth and innovation momentum, we are establishing a new Global Capability Center in Barcelona to deploy new capabilities to effectively support its global commercial and functional teams. Located in the upscale Eixample District in the heart of Barcelona, Galderma’s Global Capability Center offers numerous possibilities for professional development such as exposure to global and cross-functional projects and access to global career opportunities.
Job Title: Access and Reimbursement Lead – BeNeLux, CH, AT Markets (Biologics Launch)
Location: Barcelona – Hybrid (3 days in office – 2 days home office)

Job Description
As the Access and Reimbursement Lead – Europe Cluster Markets you are responsible for developing and executing access strategies, engaging with national and regional payer authorities through local access agencies, and ensuring the availability of our products to patients.
You are part of the Market Access Hub supporting EMEAC Cluster markets (Austria, Switzerland, Benelux) and report to the Global Access Strategy Head. You will be responsible for securing access and reimbursement for Nemolizumab - the first prescription biologic launch for Galderma.

Key Responsibilities
1. Local Access Strategy:
In collaboration with local country access expert agencies and global market access team, identify, understand, and capture local payer stakeholder needs and their implications for Galderma.
Lead local adaptation of Global payer value proposition and Global Payer objection handler
Ensure timely local submission of P&R dossiers to local payer agencies and achieve optimal market access conditions
Monitor the local P&R landscape, identify P&R risks, maintain knowledge and understanding of local access and funding pathways, and keep the Global team informed regularly.
2. Local payer-evidence generation support:
Collaborate with Global Health Economics and Outcomes Research and local country access expert agencies in the development of country-specific evidence requirements and economic models and/or analyses, driven by a clear understanding of what is needed by the country and by when.
Lead local adaptation of Budget Impact/Cost-Effectiveness models including identifying data sources relevant to local HTA/P&R assessments.
3. Price execution:
In collaboration with local country access expert agencies and global market access team, prepare a local pricing and negotiation strategy and support the country GM in pricing negotiations.
Maintain up-to-date pricing information (i.e., price type, price level, reimbursement status) and communicate with the Global Pricing team.
Report changes in pricing policies (i.e., new reference country basket, new mandatory discount) proactively with Global Pricing.
Submit price requests to Region/Global in sufficient time for evaluation.
Skills & Qualifications
Bachelor's degree in Life Sciences, Pharmacy, Health Economics, or a related field. An advanced degree is a nice to have such as MBA or M.Sc.
A broader experience in the local market access and reimbursement landscape, successfully securing pricing and reimbursement for biologic or innovative medicines ideally launching a new indication.
Strong knowledge of local market access environments, including healthcare systems, reimbursement policies, and pricing regulations (experience in Austria, Switzerland, Benelux, a plus)
Strong project management skills with the ability to manage multiple projects simultaneously and deliver results within deadlines
Analytical mindset with the ability to interpret and leverage market insights, pricing data, and health economic evidence to drive access strategies.
Fluent English is a must. Fluency in German or Dutch is a strong plus.
What we offer in return
You will be working for an organization that embraces diversity & inclusion and believe we will deliver better outcomes by reflecting the perspectives of our diverse customer base. In addition, we want to ensure our commitment towards equity and inclusion by offering a competitive and fair compensation with a bonus structure and benefit package. You become part of a hybrid culture to ensure innovation and collaboration together with the right work-life balance. You will have a development plan, during which a personalized career path will be established, and you join a growing organization that believes in ownership from day one where everyone is empowered to grow and to take on accountability.

Next Steps
Please send your CV in English and after positive review, a first virtual conversation with Talent Acquisition will take place (FYI: just need to upload CV, can ignore the manual fields requested after uploading CV)
The next step is a virtual conversation with the hiring manager
The final step is a panel conversation with the extended team
Our people make a difference
At Galderma, you’ll work with people who are like you. And people that are different. We value what every member of our team brings. Professionalism, collaboration, and a friendly, supportive ethos is the perfect environment for people to thrive and excel in what they do.
",1,1,0,0,6708
"As a Technical Writer, you create clear and user-friendly documentation to bring our consultants, alliance partners, and customers up to speed. You grow deep expertise in specific areas of our supply chain planning solution. Working with product managers and product architects, you create and update new material in line with upcoming product developments. In close collaboration with other writers, you improve documentation of processes, take the initiative to identify and bridge knowledge gaps, and improve our training offering.

You are responsible for:

Writing and updating technical documentation on how to configure our OMP planning solution for colleagues, alliance partners, and customers.
Keeping up with our newest product features.
Growing into a company-wide expert and point of contact within your area(s) of expertise.
Assuring knowledge dissemination by sharing best practices with your colleagues and building bridges between different teams.
Taking ownership of your documentation projects.
Proactively aligning with all relevant stakeholders.
Performing assignments as a technical trainer, in line with your interests and talents.",0,0,0,0,1153
"Refurbishment Manager Major Components (m/w/d)
Standort(e):
Malmö, Skåne, SE, 21146
Barcelona, Catalonia, ES, 8002
Hamburg, HH, DE, 20354
Swindon, Wiltshire, GB, SN5 6PB
Madrid, M, ES, 28022
Warszawa, Masovian, PL, 00-838
Rome, 62, IT, 00192
Zaragoza, AR, ES, 50410
Essen, NW, DE, 45141
RWE Renewables Europe & Australia GmbH, Essen, Barcelona, Hamburg, Madrid, Malmö, Swindon, Rome, Warszawa, Zaragoza
To start as soon as possible, full time, permanent

Functional area: Logistics / Operations / Shipping

As Refurbishment Manager you are responsible for the successful implementation of the European refurbishment strategy and a continuous development and increase of high-quality refurbishments for our fleet. Furthermore, you will be responsible to establish and manage a European pool of Major Components and their refurbishment including the determination and continuous assurance of an optimal size.

Your Future:

Lead and steer the implementation of our European refurbishment strategy for major components and ensure an active usage in close cooperation with the local key stakeholders across all countries.
Actively manage a pool of major components and their refurbishments for our European fleet and ensure an optimize level to minimize downtimes
Aggregate and update demands to secure recourses and spares for refurbishment loops for our European fleet in cooperation with our partners
Foster needed strategic partnerships with key suppliers in close cooperation with Procurement and other stakeholders to ensure that we have a reliable and high-quality supply of refurbished components.
Developing & driving further refurbishment strategy improvements and lead other activities to gather benefits in terms of availability, cost and quality improvements for major components
Work close together with major component teams to consider their requirements and needs and deliver transparency about the overall picture of major components by developing a cockpit
Contribute to forecasting activities and models based on failure rates and operational experiences
Support in Storage & Logistics optimization & improvements of major components
Develop and active contribute on major component & refurbishment KPI´s (e.g. Circular Economy)
Your Profile:

University degree in Economics, Engineering, Supply Chain Management or similar
Several years of working experience in Operations & Maintenance of Renewables Assets (Ideally several years of experience in a comparable role)
In-depth knowledge in the area of major components of wind turbines & supply chain and / or refurbishments of them
Great stakeholder management & good communication skills
High degree of resilience and solution-oriented mind-set
Very good in self organization and working independently
Strong strategic and commercial awareness combined with both analytical skills and the ability to drive complex challenges
Proven project management skills and ability to lead initiates successfully
Excellent negotiation and communication skills plus distinct intercultural competence
Willing to travel within Europe
Enjoy working in an international team
Fluent English in writing and spoken. Other languages are beneficial
Apply now with just a few clicks: ad code 81783, application deadline 15/09/2023.
Any questions? Please reach out to Karolina Klucska at karolina.klucska@rwe.com

We value diversity and therefore welcome all applications, irrespective of gender, disability, nationality, ethnic and social background, religion and beliefs, age or sexual orientation and identity. #inclusionmatters

We look forward to receiving your application!

As one of the world’s leading companies in the renewable energy space in Europe and Australia, RWE Renewables Europe & Australia is proud to be paving the way for a greener future. We’ve got over 1,400 employees, all developing and promoting renewable energies across 12 countries. They specialise in the construction of onshore wind turbines, solar plants, and battery storage systems. And they all share the desire to redefine how millions access energy.

We’re well set to hit our 50 GW by 2030 target, and go climate neutral by 2040. That’s thanks to our community of experts currently building Europe and Australia’s largest onshore wind farms – as well as a pipeline of exciting projects across solar and PV. And the focus isn’t just on harnessing clean energy – but also the new technologies that can push our GW ever higher.

Now, we’re looking for more people with the skills and ambition to drive the energy transition. Join RWE Renewables Europe & Australia.
Your energy has impact, use it for good.

If you would like to stay informed about our latest activities, then feel free to visit our Website or follow us on LinkedIn.",1,0,0,0,4762
"Who We Are

BCG X is the tech build & design unit of BCG. Turbocharging BCG’s deep industry and functional expertise, BCG X brings together advanced tech knowledge and ambitious entrepreneurship to help organizations enable innovation at scale. With nearly 3,000 technologists, scientists, programmers, engineers, and human-centered designers located across 80+ cities, BCG X builds and designs platforms and software to address the world’s most important challenges and opportunities. Teaming across our practices, and in close collaboration with our clients, our end-to-end global team unlocks new possibilities. Together we’re creating the bold and disruptive products, services, and businesses of tomorrow

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.

What You''ll Do

Our BCG X teams own the full analytics value-chain end to end: framing new business challenges, designing innovative algorithms, implementing, and deploying scalable solutions, and enabling colleagues and clients to fully embrace AI. Our product offerings span from fully custom-builds to industry specific leading edge AI software solutions.

Our Data Scientists and Senior Data Scientist are part of our rapidly growing team to apply data science methods and analytics to real-world business situations across industries to drive significant business impact. You''ll have the chance to partner with clients in a variety of BCG regions and industries, and on key topics like climate change, enabling them to design, build, and deploy new and innovative solutions.

Additional responsibilities will include developing and delivering thought leadership in scientific communities and papers as well as leading conferences on behalf of BCG X. Successful candidates are intellectually curious builders who are biased toward action, creative, and communicative.

We are looking for dedicated individuals with a passion for data science, statistics, operations research and redefining organizations into AI led innovative companies. Successful candidates possess the following:
Comfortable in a client-facing role with the ambition to lead teams
Likes to distill complex results or processes into simple, clear visualizations
Explain sophisticated data science concepts in an understandable manner
Love building things and are comfortable working with modern development tools and writing code collaboratively (bonus points if you have a software development or DevOps experience)
Significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data
Deep understanding of modern machine learning techniques and their mathematical underpinnings, and can translate this into business implications for our clients
Have strong project management skills

TECHNOLOGIES:
Programming Languages: Python


FOR U.S. APPLICANTS: Boston Consulting Group (“BCG”) is an Equal Opportunity/Affirmative Action employer. All qualified applicants will be considered for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by applicable law.

The first-year base compensation for this role is:
Data Scientist I: $110,000 USD
Data Scientist II: $145,000 USD
Data Scientist III: $160,000 USD
Senior Data Scientist: $190,000 USD

BCG offers a comprehensive benefits program, including medical, dental and vision coverage, telemedicine services, life, accident and disability insurance, parental leave and family planning benefits, caregiving resources, mental health offerings, a generous retirement program, financial guidance, paid time off, and more.",1,1,1,0,4161
"Trade Sales Manager

LOCATION: Madrid, Spain

REPORTS TO: Market Leader

Our client is an Italian company that specializes in producing and distributing security solutions, such as locks, access control systems, and safes. The company operates in over 80 countries and has a focus on innovation and research and development. With several brands under its umbrella, they provide a comprehensive range of security products and services to its customers.

-- MISSION --

The Trade Sales manager will be responsible for leading, directing, and motivating the Sales Team to achieve sales objectives. Executes the ISEO strategy within the context of local market trends and opportunities to drive growth in sales and market share.

-- RESPONSIBILITIES --

Achieve operational objectives.
Manage the sales team to meet sales goals and implement key initiatives relevant to the area.
Manage different stakeholders and leverage internal and external resources to make things happen.
Implement the go-to-market structure to maximize sales and channel efficiency.
Oversee the execution of the offer presented to customers.
Meet objectives.
Achieve sales, margin, and productivity goals.
Establish high levels of customer collaboration and satisfaction.
Drive brand positioning.
Implement a winning strategy for the assigned area.
Foster sales team engagement and a culture of accountability.
Develop the necessary sales capabilities to drive sustainable business performance in the area.
Promote capability development and tool adoption.
-- REQUIREMENTS --

At least B2 level of English.
3+ years of managing a team and setting targets.
Sales professional with a proactive commercial aptitude.
Skilled in market analysis, SWOT assessment, sales database management, and proposing commercial strategies.
Full availability to travel from Monday to Friday.
Job Type: Full-time

Salary: From 70,000.00€ per year

Ability to commute/relocate:

Spain: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):

Are you willing to travel extensively from Monday to Friday?
Experience:

Sales Management: 3 years (Preferred)
Language:

English (Preferred)
Spanish (Preferred)
Work Location: In person",1,0,1,0,2221
"Combine your passion for travel with your love of education…and earn up to 1500 Euros a week!

WorldStrides and Explorica by WorldStrides are leading providers of international educational tours for North American High School students.

We are seeking candidates to be trained as Tour Directors to escort students and teachers on educational tours (usually 8 to 10 days) in Europe in the Spring and Summer of 2024

You will facilitate the day-to-day running of the tour and play a lead role in introducing European culture and history to teenage participants through incorporating our LEAP philosophy - Learning by Exploring and Actively Participating.

Ideal candidates will be:

Energetic

Self-motivated

Organised

Imaginative

Widely traveled

Passionate about culture and history

Fluent in English and at least one of French, Spanish, Italian or German

***Please access the application form at www.worldstrides.com/TDApplication***

Please note that you will be redirected to the application form on our website. Only applications submitted through that application form will be considered. CVs and resumés will not be considered.

Virtual interviews will be held throughout October and November. Required training will take place in London on December 13 to 15 (travel expenses reimbursed and accommodation provided).

· Please be aware that this is a seasonal rather than a year-round position and that work will be offered and compensated on a tour-by-tour basis.

· Please note that you will lead tours for WorldStrides / Explorica by WorldStrides as an independent contractor.

A University Degree is required for this job application

Job Type: Contract

Salary: 900.00€ - 1,500.00€ per week

Education:

Bachelor's (Required)
Language:

French (Preferred)
Italian (Preferred)
German (Preferred)
Spanish (Preferred)
Work Location: On the road",1,0,1,0,1856
"Objective:

We are seeking a highly skilled and motivated individual to join our team as a Process & Data Intern. This role will give support to the brand’s scalability by helping to collect, treat, and analyse different data sets and sources, as well as drawing the brand’s processes. Additionally, this role will support on budgeting control of the Marketing Department.

Necessary Duties and Responsibilities include the following:

Process Documentation: Participate in documenting processes and workflows related to data collection, storage, and analysis.
Budgeting control: Give support to the marketing team, finance, and accounting departments to ensure that we meet our target in budget and create PR for Marketing department.
Data Analysis and accuracy: Gather, analyze, and interpret data to derive meaningful insights and support decision-making processes.
Performance Monitoring: Collaborate in key performance indicators (KPIs) and develop monitoring systems to track progress towards strategic goals. Regularly review and report on performance metrics, updating management dashboards.
Stakeholder Engagement: Collaborate with internal and external stakeholders, such as executives, department heads, data analysts, and IT professionals.
Report Generation: Generate regular and ad hoc reports and presentations as needed.
Training: Participate in training sessions to learn and understand department-specific applications, systems, and processes.
Research: Conduct research on industry trends and benchmarks as well as potential data and process tools that could enhance efficiency.
Compliance: Ensure compliance with data privacy regulations and best practices.
Project Support: Assist in projects as needed.
Skills:

Good level of English (written and spoken)
A quick learner, capable of grasping new concepts and tools quickly.
Self-motivated with the ability to work independently and in a team.
An innovative thinker, open to new ideas and continuously seeking ways to improve processes.
Strong attention to detail, ensuring data accuracy and integrity.
Proficiency in data analysis in Excel
Knowledge of statistical techniques and methods
Strong organizational and multitasking skills, capable of managing multiple projects and deadlines.
Experience with data visualization tools.
Good knowledge of PowerPoint and data reporting tools.
Familiar with process definitions programs.
Strong attention to detail and ability to work with large datasets.
Tipo de puesto: Contrato para la formación y el aprendizaje, Jornada completa

Salario: 16.000,00€-16.500,00€ al año

Beneficios:

Flexibilidad horaria
Programa de formación
Ticket restaurante
Horario:

De lunes a viernes
Flexibilidad horaria
Ubicación del trabajo: Teletrabajo híbrido en Barcelona",1,1,1,0,2766
"Your time model: Full time or part time (min. 24 hours)

All these SAP consultancies are somehow interchangeable. So why go to this one with the unusual name? Our answer: We are fresh, modern, innovative, agile and do exciting projects with renowned customers. With us you don't do 0815 best practice implementations, but work on innovative solutions that go beyond the standard (take a look at our references). The job is fun, exciting and challenging and the colleagues are more than just colleagues.

What you can look forward to

You will work in pioneering (inter)national projects at exciting companies - from hidden champions to global players - and create a holistic, innovative consulting approach for our customers
You will conduct workshops with our customers, create technical concepts based on a process analysis, take over the implementation as well as the after-go-live support and advise our customers throughout the entire project both technically and professionally
Challenging projects with exciting customers that go beyond the standard
A team that works closely with internal and external colleagues to find creative solutions for our customers
You'll fit with us if...

… you enjoy working in a team and you want to bring customers to the next level of digitalization
...you have a university degree in tourism management, business administration, business informatics or similar, or alternatively you completed a comparable vocational training program
...you are enthusiastic about travel, travel management and digitalization and have a basic willingness to travel
...you have a very good command of German and a good command of English
Our corporate culture

You can expect a unique team spirit, flat hierarchies and a working environment characterized by the hybrid model
We are on a first-name basis and also like to wear our p78 hoodie outside of customer meetings
You have a cool idea? We support and encourage you to realize it
Our mission: People are our passion, technology our element. With creativity, innovation and passion, as one ambitious team, we create digital solutions that inspire people, ensure the success of our customers and make them fit for the challenges of tomorrow
Our Benefits

As an employee at projekt0708 you can expect - in addition to a fair salary - a whole range of benefits such as

A modern office including a rooftop terrace with a stunning view over Barcelona
Company events, e.g. Oktoberfest in Munich, Christmas party, company trips, etc.
Flexible working hours & home office
An additional health insurance
and many more! You can find an overview of all our benefits on our career page.

We are looking forward to your application!

Job Types: Full-time, Permanent

Salary: Up to 64,000.00€ per year

Work Location: Hybrid remote in 08023 Barcelona, Barcelona provincia",1,1,1,1,2835
"#UPLIFTYOURFUTURE

Over 11,000 People. 18 Locations worldwide. One in three planes files with our Technology. The only thing missing: You.

Our team in Hannover-Langenhagen is searching for you as:

Aircraft Mechanic specialised in Aero Engines (all genders)
Code - MON / MOW

If you are not located in Germany: We support candidates living outside of Germany with an attractive relocation package. Join us and work for THE specialist for MRO services.

At MTU, we specialize in customized maintenance, repair and overhaul (MRO) services for commercial and military engines as well as industrial gas turbines. We are a reliable, responsive and flexible service partner to our customers. Whether we repair an engine or industrial gas turbine on-site, or arrange a shop visit to one of our worldwide MRO locations, we provide every customer with the best solution – with expertise, cost-efficient and first-class quality.

YOUR TASKS

Disassembly and assembly of engine units in accordance with manufacturer specifications (manual, IPC, SB, etc.) and internal work plans
Perform measurements during assembly and disassembly process
Diagnosis of components
Electronic documentation and recording of disassembled components
Documentation of relevant measurement results
Performing tool checks
YOUR PROFILE

Completed minimum 3-year vocational training as aircraft mechanic specialised in aero engines
Relevant professional experience in the maintenance of aero engines as well as basic knowledge in the handling of aviation standards and regulations
Good technical English language skills
Skills in MS-Office and knowledge of SAP desirable
Readiness for shift work and flexible assignments
Responsible, systematic, target-oriented working methods
Resilience and a good team player
OUR OFFER

We offer you numerous additional services that are tailored to your needs. These include extensive further training and customized development programs, an attractive pension scheme, health and fitness offers, measures to combine family and professional life, such as flexible working time models or the possibility of mobile working. We offer you the best possible conditions for your success!

Being a high-tech company, it is in our best interests to also capitalize on the unique skills and qualities women with a strong set of qualifications bring to the table. We actively encourage applications from female candidates who fit the bill.

We shape the future of aviation and bridge cultures and people. Our employees' diverse ideas, experiences and perspectives are essential to our success. As an employer, we are committed to promoting diversity and inclusion in the workplace.

READY?

Give your career a boost and send us your complete application. Please indicate your earliest possible start date and your salary requirement, and use our online application form, which you can access directly from this page.

We look forward to getting to know you.

Your Recruiter: Laura Rosemeyer

Tel.: +49 511 7806 6077

Location of our facility: MTU Maintenance Hannover GmbH, Münchner Straße 31, 30855 Langenhagen, Germany

Job Type: Full-time

Salary: 45,000.00€ - 51,000.00€ per year

Work Location: In person",1,1,1,0,3200
"Meet Benevity
Benevity's award-winning corporate purpose software empowers companies and their people to take social action on the issues and causes they care about. Through giving, volunteering, grantmaking and positive actions, we help 940+ clients (and counting!) build better cultures and engage their employees and customers to create greater social and business impact. We're also one of the first B-Corps in Canada, meaning we're as committed to purpose as we are to profits.

To join our growing team, we're currently looking for a People and Culture Manager based in Barcelona.

You will oversee all People practices for Benevity's International business, and support the delivery of great employee and candidate experience in multiple countries. You will support Benevity International leaders from strategic initiatives to day to day issue resolution. You will be a contributor to the design of global people programs and you will drive execution of programs for the international team. You are solutions focused, and you will collaborate with all parts of the People Team and other partners (Finance, IT, Legal).

What will you do?

Lead a small People Team in Barcelona, supporting Benevity's International business.
Utilize your business acumen and practical experience to dig deeply into issues and develop fit for purpose solutions that build culture and drive high performance.
Collaborate with People Team members, leaders, legal, IT and other stakeholders to recommend creative and practical solutions to complex situations, even ones that you have not encountered before. Identify when a local solution is necessary and when to leverage the broader team and align processes for efficiency.
Apply your knowledge of HR compliance matters.
Build and cultivate positive, trust-based working relationships across the business at all levels and with People Team colleagues.
Demonstrate enthusiasm, creativity, problem solving and time management skills, and be a role-model of organizational values.
Scale recruiting channels and practices to meet business demands and support local recruiter.
Contribute to designing and/or scaling of programs in Talent Management, People Operations and Learning.
Support business teams in executing People Programs such as Performance Management, Succession Planning, Learning, Career Development, and Compensation.
Promote, educate, and support our Diversity and Inclusion Initiatives.
Facilitate conflict resolution and conduct investigations in a practical, expedient, and discreet manner.
Guide employee relations issues effectively to successful conclusion.
What will you bring?

Experienced partner and coach to leaders, providing strategic input, advice and hands-on support across all aspects of People & Culture at every level in the company.
Minimum 7 years experience including prior team leadership experience.
Balance strategic and tactical priorities in a fast-paced environment.
Super-hero level in building authentic and impactful relationships.
Proven change-agent who respectfully challenges existing approaches to drive continuous improvement.
Critical thinker and integrator of multiple sources of information.
Skilled listener, fact finder, communicator, presenter.
Highly motivated self-starter who can take initiative and accomplish tasks without directions. Ambiguity? Challenge accepted!
Use sound judgment, business acumen and practical experience to guide recommendations.
Demonstrates the ability to influence by presenting data-driven recommendations to leaders in a clear and compelling manner.
Fearlessly engages in challenging conversations with clarity and conviction.
Possesses broad HR expertise, with a depth of knowledge in areas such as Organization design, Recruiting, Performance Management, People Development, Succession & Workforce Planning, Total Rewards, People Relations, Leadership Development, Team Effectiveness, Change Management, Employment Legislation.
Thrive in a fast-paced, high-growth environment.
Discover your purpose at work!
If you're a passionate problem solver and want to put your skills to use helping the world's coolest companies do more good in the world, Benevity is the place for you. You'll be part of a team with a 99% client retention rate — the highest in the SaaS space — so you can learn and grow with the best.
If you want meaning, purpose and growth, you belong at Benevity!

Join a company where DEIB isn't a buzzword:
The diverse backgrounds, experiences, skills and passions of our people make it possible for us to keep innovating as the market leader in our space.

Diversity, Equity, Inclusion and Belonging are part of Benevity's DNA. You'll see the impact of our massive investment in DEIB daily—from our Black Employee Network making space for us to have difficult conversations to our Pride events and the exceptional diversity on our leadership and tech teams.

We strive to build a strong culture of Belonging so that every Benevity-ite feels included and can thrive as their authentic selves — in a place where everyone has an equitable opportunity to shine!

Here at Benevity, we are committed to creating a culture of belonging and that starts with a fair and accessible hiring process. Any candidates with disabilities who may require accommodations throughout the hiring or assessment process, are encouraged to reach out to accommodations@benevity.com.

If you want to feel seen, heard and celebrated, you belong at Benevity!",1,1,0,0,5470
